Component,Comment,Designator,Footprint,LCSC Part #
1,100nF,"C17,C18",C_0402_1005Metric,C307331
2,100nF@50V,"C1,C5,C9,C10,C11",C_0402_1005Metric,C307331
3,10uF@50V,"C22,C23",C_1206_3216Metric,C13585
4,1uF@50V,C115,C_0603_1608Metric,C15849
5,2.2uF/16V,C26,C_0603_1608Metric,C23630
6,220uF@80V,C34,CP_Radial_D10.0mm_P5.00mm,C106516
7,22pF/50V,"C2,C6,C7,C8,C48",C_0603_1608Metric,C1653
8,470nF/25V,C27,C_0603_1608Metric,C1623
9,470nF@50V,"C3,C4,C24,C118",C_0805_2012Metric,C13967
10,47uF/10V,"C29,C30,C31,C32,C33,C117",C_1206_3216Metric,C96123
11,D_Schottky,D21,D_SOD-123F,C8598
12,LED GREEN,D15,LED_0805_2012Metric,C2297
13,"PDZ3.3B,115",D1,D_SOD-323,C426855
14,Conn_01x02,J14,AMASS_XT30U-M_1x02_P5.0mm_Vertical,C99101
15,Conn_01x02,J24,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,C2910525
16,Conn_01x03_Male,"J28,J30,J52,J54",PinHeader_1x03_P2.54mm_Vertical,C2937625
17,Conn_01x04,J15,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,C144395
18,Conn_01x05,"J11,J16,J20,J21,J23",JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,C157991
19,Conn_02x08_Odd_Even,J5,PinHeader_2x08_P2.54mm_Vertical,C779499
20,HR911130A,"J3,J4",HR911130A,C54408
21,Screw_Terminal_01x02,J13,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",C557665
22,USB_A_Stacked,J2,USB_A_Wuerth_61400826021_Horizontal_Stacked,C720548
23,xcore,J12,xcore,C306045
24,6.8uH,L1,L_Sunlord_MWSA1004S,C408485
25,Fan,M1,PinHeader_1x02_P2.54mm_Vertical,C2935908
26,AO3400A,"Q1,Q2",SOT-23,C20917
27,0R,R82,R_0603_1608Metric,C21189
28,150R,"R1,R3,R5,R6,R18,R39,R40,R42,R63,R83,R84,R85",R_0603_1608Metric,C22808
29,150R,"R25,R53",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17471
30,300R,"R7,R8,R9,R10",R_0603_1608Metric,C23025
31,1k,R62,R_0805_2012Metric,C17513
32,2.2k,"R26,R58",R_0805_2012Metric,C17520
33,10k,"R2,R4,R15,R16,R47,R48,R49,R50",R_0402_1005Metric,C25744
34,10k,R24,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
35,100k,R56,R_0603_1608Metric,C25803
36,100k 0.1%,R57,R_0603_1608Metric,C122538
37,25k 0.1%,R61,R_0603_1608Metric,C2828637
38,74LVC2G17,"U2,U3",SOT-363_SC-70-6,C80500
39,LM76005RNPR,U11,LM76005RNPR,C2866241
40,M24C02-WMN,U5,SOIC-8_3.9x4.9mm_P1.27mm,C7562
41,TPS2065CDBV,U1,SOT-23-5,C353882
